Transaction_ID,Timestamp,sender,receiver,Amount,Fraud
TX000001,2026-09-21 09:00:00,ACC1327,ACC1057,74180.89,0
TX000002,2026-09-21 09:00:01,ACC1071,ACC1377,67702.28,0
TX000003,2026-09-21 09:00:08,ACC1044,ACC1302,3275.09,0
TX000004,2026-09-21 09:00:15,ACC1119,ACC1258,2750.94,0
TX000005,2026-09-21 09:00:20,ACC1332,ACC1359,42010.03,0
TX000006,2026-09-21 09:00:05,ACC1142,ACC1414,75904.86,0
TX000007,2026-09-21 09:00:18,ACC1216,ACC1174,15632.4,0
TX000008,2026-09-21 09:00:07,ACC1172,ACC1052,38054.74,0
TX000009,2026-09-21 09:00:24,ACC1176,ACC1309,80732.11,0
TX000010,2026-09-21 09:00:36,ACC1274,ACC1063,7972.14,0
TX000011,2026-09-21 09:00:30,ACC1321,ACC1316,57777.48,0
TX000012,2026-09-21 09:00:22,ACC1023,ACC1338,77329.53,0
TX000013,2026-09-21 09:00:12,ACC1437,ACC1119,38074.61,0
TX000014,2026-09-21 09:00:26,ACC1427,ACC1186,37081.08,0
TX000015,2026-09-21 09:00:14,ACC1136,ACC1359,60952.19,0
TX000016,2026-09-21 09:00:30,ACC1373,ACC1125,46279.8,0
TX000017,2026-09-21 09:01:20,ACC1473,ACC1327,22039.56,0
TX000018,2026-09-21 09:00:17,ACC1393,ACC1397,22981.9,1
TX000019,2026-09-21 09:00:54,ACC1161,ACC1205,6712.24,0
TX000020,2026-09-21 09:00:57,ACC1290,ACC1448,21341.39,0
TX000021,2026-09-21 09:01:20,ACC1452,ACC1468,14372.87,0
TX000022,2026-09-21 09:01:45,ACC1381,ACC1287,26347.89,0
TX000023,2026-09-21 09:01:28,ACC1459,ACC1298,36263.44,0
TX000024,2026-09-21 09:01:32,ACC1070,ACC1260,9181.85,0
TX000025,2026-09-21 09:00:48,ACC1056,ACC1078,79228.73,0
TX000026,2026-09-21 09:01:40,ACC1032,ACC1197,59629.25,0
TX000027,2026-09-21 09:02:10,ACC1128,ACC1497,86091.89,1
TX000028,2026-09-21 09:02:15,ACC1369,ACC1058,75112.69,0
TX000029,2026-09-21 09:01:24,ACC1174,ACC1057,43533.05,0
TX000030,2026-09-21 09:01:27,ACC1488,ACC1369,97191.62,0
TX000031,2026-09-21 09:00:30,ACC1259,ACC1467,87064.81,0
TX000032,2026-09-21 09:02:35,ACC1327,ACC1259,19971.22,0
TX000033,2026-09-21 09:02:40,ACC1082,ACC1276,91857.5,0
TX000034,2026-09-21 09:00:33,ACC1250,ACC1009,92916.95,0
TX000035,2026-09-21 09:01:42,ACC1425,ACC1413,24021.29,0
TX000036,2026-09-21 09:00:35,ACC1290,ACC1484,8656.78,0
TX000037,2026-09-21 09:03:00,ACC1035,ACC1389,76606.86,0
TX000038,2026-09-21 09:03:05,ACC1243,ACC1484,16596.18,0
TX000039,2026-09-21 09:01:16,ACC1310,ACC1216,92898.46,0
TX000040,2026-09-21 09:01:57,ACC1353,ACC1102,39959.33,0
TX000041,2026-09-21 09:03:20,ACC1191,ACC1224,45203.47,0
TX000042,2026-09-21 09:00:41,ACC1032,ACC1173,58872.04,0
TX000043,2026-09-21 09:00:42,ACC1112,ACC1003,70813.31,1
TX000044,2026-09-21 09:00:43,ACC1034,ACC1463,85977.58,1
TX000045,2026-09-21 09:02:56,ACC1121,ACC1142,21502.26,0
TX000046,2026-09-21 09:03:45,ACC1478,ACC1451,57663.54,0
TX000047,2026-09-21 09:03:04,ACC1242,ACC1413,19121.95,0
TX000048,2026-09-21 09:03:08,ACC1220,ACC1181,41169.12,0
TX000049,2026-09-21 09:00:48,ACC1027,ACC1344,6155.21,0
TX000050,2026-09-21 09:00:49,ACC1409,ACC1441,24940.77,0
TX000051,2026-09-21 09:03:20,ACC1229,ACC1071,18430.45,0
TX000052,2026-09-21 09:00:51,ACC1447,ACC1472,44368.76,0
TX000053,2026-09-21 09:00:52,ACC1281,ACC1050,65249.27,0
TX000054,2026-09-21 09:00:53,ACC1007,ACC1496,92644.06,0
TX000055,2026-09-21 09:03:36,ACC1085,ACC1208,48187.71,0
TX000056,2026-09-21 09:01:50,ACC1462,ACC1030,37959.41,0
TX000057,2026-09-21 09:03:44,ACC1135,ACC1474,28596.4,0
TX000058,2026-09-21 09:04:45,ACC1374,ACC1401,66220.94,0
TX000059,2026-09-21 09:01:56,ACC1097,ACC1151,96874.07,0
TX000060,2026-09-21 09:02:57,ACC1277,ACC1031,5810.81,0
TX000061,2026-09-21 09:05:00,ACC1257,ACC1470,15827.53,0
TX000062,2026-09-21 09:02:02,ACC1041,ACC1435,6945.28,0
TX000063,2026-09-21 09:04:08,ACC1441,ACC1120,12076.67,0
TX000064,2026-09-21 09:05:15,ACC1126,ACC1296,4070.19,0
TX000065,2026-09-21 09:05:20,ACC1336,ACC1298,52325.99,0
TX000066,2026-09-21 09:03:15,ACC1104,ACC1342,23944.73,0
TX000067,2026-09-21 09:03:18,ACC1343,ACC1330,45776.73,0
TX000068,2026-09-21 09:01:07,ACC1479,ACC1037,45882.72,0
TX000069,2026-09-21 09:05:40,ACC1051,ACC1037,21394.12,0
TX000070,2026-09-21 09:01:09,ACC1477,ACC1178,87939.1,0
TX000071,2026-09-21 09:05:50,ACC1080,ACC1224,70383.64,0
TX000072,2026-09-21 09:05:55,ACC1413,ACC1334,881.53,0
TX000073,2026-09-21 09:01:12,ACC1153,ACC1477,93899.11,0
TX000074,2026-09-21 09:01:13,ACC1059,ACC1455,74267.43,0
TX000075,2026-09-21 09:02:28,ACC1144,ACC1309,71789.46,0
TX000076,2026-09-21 09:03:45,ACC1324,ACC1436,50590.36,0
TX000077,2026-09-21 09:01:16,ACC1464,ACC1433,9320.62,0
TX000078,2026-09-21 09:01:17,ACC1141,ACC1022,33422.3,0
TX000079,2026-09-21 09:05:12,ACC1134,ACC1082,55212.87,0
TX000080,2026-09-21 09:01:19,ACC1004,ACC1057,94510.59,0
TX000081,2026-09-21 09:01:20,ACC1076,ACC1279,83476.04,0
TX000082,2026-09-21 09:02:42,ACC1075,ACC1220,4278.7,0
TX000083,2026-09-21 09:01:22,ACC1477,ACC1407,89902.57,0
TX000084,2026-09-21 09:01:23,ACC1127,ACC1341,35432.5,0
TX000085,2026-09-21 09:07:00,ACC1447,ACC1208,74972.81,0
TX000086,2026-09-21 09:02:50,ACC1121,ACC1442,97622.98,0
TX000087,2026-09-21 09:01:26,ACC1451,ACC1211,18018.13,0
TX000088,2026-09-21 09:05:48,ACC1400,ACC1476,80243.29,0
TX000089,2026-09-21 09:04:24,ACC1415,ACC1127,16003.86,0
TX000090,2026-09-21 09:01:29,ACC1195,ACC1446,85873.47,0
TX000091,2026-09-21 09:06:00,ACC1418,ACC1470,35030.88,0
TX000092,2026-09-21 09:03:02,ACC1446,ACC1116,2464.08,0
TX000093,2026-09-21 09:01:32,ACC1168,ACC1142,96692.22,0
TX000094,2026-09-21 09:06:12,ACC1328,ACC1260,67983.86,0
TX000095,2026-09-21 09:01:34,ACC1169,ACC1480,11622.64,0
TX000096,2026-09-21 09:04:45,ACC1091,ACC1297,3921.89,0
TX000097,2026-09-21 09:04:48,ACC1176,ACC1373,43695.75,0
TX000098,2026-09-21 09:08:05,ACC1059,ACC1197,19088.87,0
TX000099,2026-09-21 09:08:10,ACC1223,ACC1000,92564.96,0
TX000100,2026-09-21 09:03:18,ACC1368,ACC1481,36485.73,0
TX000101,2026-09-21 09:05:00,ACC1340,ACC1471,62353.23,0
TX000102,2026-09-21 09:05:03,ACC1063,ACC1368,50761.54,0
TX000103,2026-09-21 09:05:06,ACC1167,ACC1206,55485.81,0
TX000104,2026-09-21 09:06:52,ACC1340,ACC1481,67764.06,0
TX000105,2026-09-21 09:05:12,ACC1315,ACC1291,40666.91,0
TX000106,2026-09-21 09:03:30,ACC1155,ACC1146,43045.83,0
TX000107,2026-09-21 09:07:04,ACC1335,ACC1164,44234.42,0
TX000108,2026-09-21 09:03:34,ACC1261,ACC1242,65919.19,0
TX000109,2026-09-21 09:09:00,ACC1339,ACC1324,33585.31,0
TX000110,2026-09-21 09:05:27,ACC1384,ACC1120,22541.6,0
TX000111,2026-09-21 09:03:40,ACC1012,ACC1023,98395.21,0
TX000112,2026-09-21 09:07:24,ACC1393,ACC1037,41502.66,0
TX000113,2026-09-21 09:07:28,ACC1099,ACC1367,49488.28,0
TX000114,2026-09-21 09:01:53,ACC1335,ACC1352,89276.72,0
TX000115,2026-09-21 09:07:36,ACC1453,ACC1054,21962.23,0
TX000116,2026-09-21 09:07:40,ACC1356,ACC1265,5116.82,0
TX000117,2026-09-21 09:07:44,ACC1434,ACC1062,13420.58,0
TX000118,2026-09-21 09:09:45,ACC1271,ACC1286,31798.07,0
TX000119,2026-09-21 09:09:50,ACC1226,ACC1313,42731.4,0
TX000120,2026-09-21 09:03:58,ACC1228,ACC1459,74391.18,0
TX000121,2026-09-21 09:04:00,ACC1132,ACC1384,84002.3,0
TX000122,2026-09-21 09:08:04,ACC1398,ACC1266,62712.17,0
TX000123,2026-09-21 09:06:06,ACC1039,ACC1365,23525.91,0
TX000124,2026-09-21 09:02:03,ACC1457,ACC1276,13923.57,0
TX000125,2026-09-21 09:04:08,ACC1355,ACC1078,6516.46,0
TX000126,2026-09-21 09:08:20,ACC1277,ACC1238,6320.34,0
TX000127,2026-09-21 09:10:30,ACC1199,ACC1463,94611.6,1
TX000128,2026-09-21 09:10:35,ACC1450,ACC1391,38100.06,1
TX000129,2026-09-21 09:08:32,ACC1180,ACC1152,85359.45,0
TX000130,2026-09-21 09:10:45,ACC1214,ACC1275,80006.83,0
TX000131,2026-09-21 09:06:30,ACC1249,ACC1112,43640.01,1
TX000132,2026-09-21 09:08:44,ACC1172,ACC1342,72445.72,0
TX000133,2026-09-21 09:11:00,ACC1470,ACC1065,53458.95,0
TX000134,2026-09-21 09:02:13,ACC1303,ACC1288,8486.35,0
TX000135,2026-09-21 09:04:28,ACC1443,ACC1236,5123.43,0
TX000136,2026-09-21 09:06:45,ACC1108,ACC1232,33816.3,0
TX000137,2026-09-21 09:09:04,ACC1142,ACC1385,25301.93,0
TX000138,2026-09-21 09:11:25,ACC1009,ACC1383,5303.35,0
